,Manufacturer,Screen_Size,RAM,GPU,Operating_System,Operating_System_Version,Weight,Storage_Capacity,Storage_Type,CPU_brand,CPU_freq,CPU_cores,CPU_model,Screen_Resolution,Screen_Model,GPU_brand
59,Asus,15.6,4,Intel HD Graphics 520,Linux,Unkonwn,2.0,256,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
60,Dell,17.3,16,AMD Radeon 530,Windows,10,2.8,2304,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
61,Dell,14.0,8,Intel UHD Graphics 620,Windows,10,1.7,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
62,Lenovo,14.0,8,Intel HD Graphics 620,No OS,No OS,1.7,256,SSD,Intel,2.7,2,Core i3 7130U,1920x1080,IPS Panel Full HD,Intel
63,Asus,14.0,8,Intel UHD Graphics 620,Windows,10,1.4,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
64,HP,15.6,8,Intel HD Graphics 620,Windows,10,1.86,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
65,Asus,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
66,HP,15.6,4,AMD Radeon 520,Windows,10,1.86,500,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,AMD
67,HP,14.0,4,Intel HD Graphics 400,Windows,10,1.44,32,SSD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
68,Lenovo,15.6,4,Intel HD Graphics 620,Windows,10,1.9,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
69,Asus,17.3,12,Nvidia GeForce GTX 1050 Ti,Linux,Unkonwn,3.0,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
70,Microsoft,13.5,4,Intel HD Graphics 620,Windows,10 S,1.252,128,SSD,Intel,2.5,2,Core i5 7200U,2256x1504,Touchscreen,Intel
71,Dell,13.3,8,AMD Radeon 530,Windows,10,1.4,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,AMD
72,Dell,15.6,8,AMD Radeon 530,Windows,10,2.2,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
73,MSI,17.3,8,Nvidia GeForce GTX 1050,Windows,10,2.7,1152,SSD + HDD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
74,Acer,14.0,8,Intel HD Graphics 520,Windows,10,2.1,1024,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
75,Asus,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.2,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
76,Lenovo,15.6,8,Intel HD Graphics 620,No OS,No OS,2.2,2048,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
77,Dell,15.6,8,Intel UHD Graphics 620,Windows,10,2.02,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
78,Acer,15.6,4,Nvidia GeForce MX130,Windows,10,2.2,1024,HDD,Intel,2.7,2,Core i3 7130U,1920x1080,Full HD,Nvidia
79,HP,17.3,8,Nvidia GeForce 930MX,Windows,10,2.5,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
80,Dell,15.6,8,Intel UHD Graphics 620,Windows,10,1.88,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
81,Apple,12.0,8,Intel HD Graphics 615,macOS,Unkonwn,0.92,512,SSD,Intel,1.3,4,Core i5,2304x1440,IPS Panel Retina Display,Intel
82,HP,14.0,8,Intel HD Graphics 620,Windows,10,1.63,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
83,Lenovo,15.6,4,AMD R4 Graphics,Windows,10,2.2,128,SSD,AMD,2.5,2,A6 Series 9220,1920x1080,Full HD,AMD
84,Acer,15.6,4,AMD Radeon R5,Windows,10,2.1,1024,HDD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
85,Dell,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
86,HP,15.6,8,Nvidia GeForce GTX 940MX,Windows,10,1.83,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
87,HP,15.6,8,Intel HD Graphics 620,Windows,10,1.96,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
88,Asus,15.6,16,Nvidia GeForce GTX 1060,Windows,10,2.2,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
89,Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.21,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Intel
90,Asus,15.6,8,AMD Radeon RX 560,Windows,10,2.45,1024,HDD,AMD,3.0,4,FX 9830P,1920x1080,Full HD,AMD
91,Acer,15.6,8,Nvidia GeForce MX150,Windows,10,2.2,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
92,HP,13.3,16,Intel UHD Graphics 620,Windows,10,1.49,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
93,Dell,15.6,8,Nvidia GeForce GTX 1060,Windows,10,2.65,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
94,Asus,14.0,8,Intel HD Graphics 620,Windows,10,1.25,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
95,Acer,13.3,8,Intel UHD Graphics 620,Windows,10,1.5,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
96,Dell,15.6,8,AMD Radeon R5 M430,Linux,Unkonwn,2.2,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
97,Dell,15.6,4,AMD Radeon R5 M430,Linux,Unkonwn,2.2,256,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,AMD
98,Asus,15.6,6,Nvidia GeForce 920M,Windows,10,2.0,256,SSD,Intel,2.4,2,Core i3 7100U,1920x1080,Full HD,Nvidia
99,HP,15.6,12,Nvidia GeForce GTX 1050,Windows,10,2.62,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
100,HP,15.6,8,AMD Radeon 530,Windows,10,1.91,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
101,HP,15.6,4,AMD Radeon R2,Windows,10,2.1,500,HDD,AMD,1.5,2,E Series E2 9000e,1920x1080,Full HD,AMD
102,Dell,15.6,8,AMD Radeon 520,Linux,Unkonwn,2.2,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
103,HP,13.3,8,Nvidia GeForce MX150,Windows,10,1.38,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Nvidia
104,Microsoft,13.5,8,Intel HD Graphics 620,Windows,10 S,1.252,256,SSD,Intel,2.5,2,Core i5 7200U,2256x1504,Touchscreen,Intel
105,HP,14.0,6,Nvidia GeForce 940MX,Windows,10,1.58,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Nvidia
106,Lenovo,15.6,4,Intel HD Graphics 520,Windows,10,1.85,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
107,Asus,14.0,8,Nvidia GeForce 940MX,Windows,10,1.3,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Nvidia
108,MSI,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
109,Lenovo,14.0,8,Intel HD Graphics 620,Windows,10,1.58,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Intel
110,Asus,15.6,16,Nvidia GeForce MX150,Windows,10,1.5,1280,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
111,Dell,13.3,8,Intel Iris Plus Graphics 640,Windows,10,1.23,256,SSD,Intel,2.4,2,Core i7 7560U,3200x1800,Quad HD+ / Touchscreen,Intel
112,Lenovo,13.3,8,Intel HD Graphics 620,Windows,10,1.37,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
113,HP,14.0,4,Intel UHD Graphics 620,Windows,10,1.63,500,HDD,Intel,1.6,4,Core i5 8250U,1366x768,IPS Panel,Intel
114,Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.21,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
115,HP,13.3,8,Intel UHD Graphics 620,Windows,10,1.26,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
116,HP,14.0,8,Intel UHD Graphics 620,Windows,10,1.63,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
117,Dell,15.6,8,Nvidia GeForce 940MX,Windows,10,2.16,1280,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
118,Asus,17.3,4,Nvidia GeForce 920MX,Windows,10,2.0,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Nvidia
119,Asus,15.6,8,Nvidia GeForce 940MX,Windows,10,1.7,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
120,Acer,15.6,6,Intel HD Graphics 620,Windows,10,2.1,1024,HDD,Intel,2.4,2,Core i3 7100U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
121,MSI,15.6,16,Nvidia GeForce GTX 1070,Windows,10,1.8,2304,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
122,Lenovo,15.6,8,Nvidia GeForce 940MX,No OS,No OS,2.2,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
123,HP,17.3,16,Nvidia GeForce 930MX ,Windows,10,2.5,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
124,Acer,15.6,4,AMD Radeon R5,Windows,10,2.1,256,SSD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
125,HP,15.6,4,Intel HD Graphics 400,No OS,No OS,1.86,500,HDD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
126,HP,14.0,8,Intel UHD Graphics 620,Windows,10,1.63,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
127,Asus,14.0,4,AMD Radeon R2,Windows,10 S,1.65,64,SSD,AMD,1.5,4,E Series 6110,1366x768,Unknown,AMD
128,Dell,17.3,16,AMD Radeon 530,Windows,10,2.8,2304,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
129,HP,17.3,8,Intel UHD Graphics 620,Windows,10,2.5,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
130,Dell,15.6,8,AMD Radeon R7 M445,Windows,10,2.36,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,AMD
131,Dell,15.6,4,AMD Radeon R5 M430,Windows,10,2.2,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,AMD
132,Acer,14.0,8,Intel UHD Graphics 620,Windows,10,1.6,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Intel
133,Acer,15.6,4,Nvidia GeForce MX130,Windows,10,2.2,256,SSD,Intel,2.7,2,Core i3 7130U,1920x1080,Full HD,Nvidia
134,HP,15.6,8,Intel HD Graphics 620,Windows,10,2.05,1024,HDD,Intel,2.7,2,Core i7 7500U,1366x768,Unknown,Intel
135,HP,14.0,8,Intel UHD Graphics 620,Windows,10,1.63,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
136,Lenovo,15.6,4,Intel HD Graphics 500,No OS,No OS,1.9,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
137,Asus,17.3,8,Nvidia GeForce GTX 1050,Windows,10,3.0,1152,SSD + HDD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
138,Lenovo,15.6,4,Nvidia GeForce 920MX,No OS,No OS,2.2,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
139,HP,13.3,4,Intel HD Graphics 620,Windows,10,1.32,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
140,Acer,17.3,4,Nvidia GeForce MX130,Windows,10,3.0,1024,HDD,Intel,2.7,2,Core i3 7130U,1920x1080,IPS Panel Full HD,Nvidia
141,Lenovo,14.0,8,AMD Radeon RX 550,Windows,10,1.75,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,AMD
142,Lenovo,15.6,8,Nvidia GeForce GTX 1050M,No OS,No OS,2.4,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
143,Toshiba,15.6,4,Intel HD Graphics 520,Windows,10,2.1,500,HDD,Intel,2.3,2,Core i5 6200U,1366x768,Unknown,Intel
144,HP,15.6,4,AMD Radeon R4 Graphics,Windows,10,1.86,256,SSD,AMD,2.5,2,A6 Series 9220,1366x768,Unknown,AMD
145,Asus,14.0,8,Intel UHD Graphics 620,Windows,10,1.25,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
146,HP,12.5,8,Intel HD Graphics 515,Windows,10,0.97,512,SSD,Intel,1.2,2,Core M 6Y75,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
147,Asus,15.6,4,Intel HD Graphics 500,Windows,10,2.0,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1920x1080,Full HD,Intel
148,MSI,17.3,16,Nvidia GeForce GTX 1070,Windows,10,2.9,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
149,Acer,15.6,4,Intel HD Graphics 520,Windows,10,2.1,1024,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
150,Dell,15.6,16,Nvidia GeForce GTX 1050,Windows,10,2.56,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
151,Dell,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.62,1024,Hybrid,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
152,Lenovo,15.6,4,Intel HD Graphics 620,Windows,10,1.9,128,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
153,MSI,17.3,16,Nvidia GeForce GTX 1060,Windows,10,2.8,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
154,HP,14.0,4,Intel HD Graphics 620,Windows,10,1.48,256,SSD,Intel,2.7,2,Core i5 7500U,1920x1080,Full HD,Intel
155,HP,15.6,6,AMD Radeon 520,Windows,10,1.91,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
156,Lenovo,14.0,4,Intel HD Graphics 620,Windows,10,1.74,256,SSD,Intel,2.4,2,Core i3 7100U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
157,Asus,13.3,8,Intel HD Graphics 620,Windows,10,1.1,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD / Touchscreen,Intel
158,Dell,15.6,8,Intel UHD Graphics 620,Windows,10,1.56,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD / Touchscreen,Intel
159,Toshiba,15.6,4,Intel HD Graphics 520,Windows,10,2.1,500,HDD,Intel,2.2,2,Core i3 6006U,1366x768,Unknown,Intel
160,Asus,15.6,4,AMD Radeon R5 M420,Windows,10,2.03,1024,HDD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
161,Acer,17.3,4,Nvidia GeForce MX150,Windows,10,3.0,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
162,Dell,15.6,8,AMD Radeon 520,Windows,10,2.13,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
163,Lenovo,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
164,Acer,15.6,4,Intel HD Graphics 500,Windows,10,2.1,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
165,MSI,15.6,16,Nvidia GeForce GTX 1060,Windows,10,2.4,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
166,Acer,15.6,4,Intel HD Graphics 505,Windows,10,2.1,1024,HDD,Intel,1.1,4,Pentium Quad Core N4200,1366x768,Unknown,Intel
167,Dell,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.56,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
168,Acer,17.3,8,Nvidia GeForce MX150,Windows,10,3.0,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
169,HP,13.3,4,Intel UHD Graphics 620,Windows,10,1.49,500,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
170,Huawei,13.0,8,Intel HD Graphics 620,Windows,10,1.05,256,SSD,Intel,2.5,2,Core i5 7200U,2160x1440,IPS Panel Full HD,Intel
171,HP,17.3,6,AMD Radeon 520,Windows,10,2.71,2048,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,AMD
