Manufacturer,Screen_Size,RAM,GPU,Operating_System,Operating_System_Version,Weight,Storage_Capacity,Storage_Type,CPU_brand,CPU_freq,CPU_cores,CPU_model,Screen_Resolution,Screen_Model,GPU_brand
Apple,13.3,8,Intel HD Graphics 6000,Mac OS,X,1.35,128,Flash Storage,Intel,1.6,4,Core i5,1440x900,Unknown,Intel
Dell,15.6,8,AMD Radeon 530,Windows,10,2.2,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
Dell,15.6,8,Intel UHD Graphics 620,Windows,10,1.88,512,SSD,Intel,1.9,4,Core i7 8650U,1920x1080,Full HD,Intel
HP,17.3,8,Nvidia GeForce 930MX,Windows,10,2.5,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
Chuwi,15.6,4,Intel HD Graphics,Windows,10,1.89,64,Flash Storage,Intel,1.44,4,Atom x5 Z8300,1920x1080,Full HD,Intel
Asus,14.0,2,AMD Radeon R2,Windows,10,1.65,32,Flash Storage,AMD,1.5,4,E Series E2 6110,1366x768,Unknown,AMD
HP,17.3,4,AMD Radeon 530,Windows,10,2.71,500,HDD,AMD,2.5,2,A6 Series 9220,1920x1080,Full HD,AMD
Dell,13.3,16,Intel UHD Graphics 620,Windows,10,1.2,512,SSD,Intel,1.8,4,Core i7 8550U,3200x1800,Touchscreen / Quad HD+,Intel
Apple,13.3,8,Intel HD Graphics 6000,Mac OS,X,1.35,256,Flash Storage,Intel,1.6,4,Core i5,1440x900,Unknown,Intel
Lenovo,14.0,4,Intel HD Graphics 500,Windows,10,1.44,64,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
Acer,15.6,4,Intel HD Graphics 620,Linux,Ubuntu,2.1,1024,HDD,Intel,2.7,2,Core i3 7130U,1366x768,Unknown,Intel
Dell,17.3,8,AMD Radeon 530,Windows,10,2.8,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,AMD
HP,15.6,4,Intel HD Graphics 620,Windows,10,1.86,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
HP,15.6,8,Nvidia GeForce 930MX ,Windows,10,2.1,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
Asus,15.6,4,Intel HD Graphics 620,Linux,Ubuntu,2.0,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Dell,15.6,16,Nvidia GeForce GTX 1060,Windows,10,2.65,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Asus,15.6,8,Nvidia GeForce 940MX,Linux,Ubuntu,2.3,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Nvidia
Acer,15.6,4,Intel UHD Graphics 620,Windows,10,2.2,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
Dell,17.3,12,Nvidia GeForce 150MX,Windows,10,2.77,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD / Touchscreen,Nvidia
Apple,13.3,8,Intel Iris Graphics 540,Mac OS,X,1.37,256,SSD,Intel,2.0,4,Core i5,2560x1600,IPS Panel Retina Display,Intel
Lenovo,15.6,4,Intel HD Graphics 520,No OS,No OS,2.2,128,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
Asus,17.3,8,AMD Radeon RX 580,Windows,10,3.2,1280,SSD + HDD,AMD,3.0,8,Ryzen 1700,1920x1080,Full HD,AMD
Dell,15.6,4,AMD Radeon R5 M430,Windows,10,2.3,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,AMD
Asus,17.3,4,Nvidia GeForce 920MX,Windows,10,2.8,1024,HDD,Intel,1.1,4,Pentium Quad Core N4200,1366x768,Unknown,Nvidia
Lenovo,10.1,4,Intel HD Graphics 400,Android,Android,0.69,64,Flash Storage,Intel,1.44,4,Atom x5 Z8550,1920x1200,IPS Panel Touchscreen,Intel
Acer,15.6,8,Nvidia GeForce MX150,Windows,10,2.2,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
HP,15.6,4,AMD Radeon R4 Graphics,Windows,10,1.86,256,SSD,AMD,2.5,2,A6 Series 9220,1920x1080,Full HD,AMD
HP,13.3,8,Intel UHD Graphics 620,Windows,10,1.49,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
Acer,15.6,4,Intel HD Graphics 620,Windows,10,2.4,1024,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
Dell,15.6,8,AMD Radeon 520,Windows,10,2.13,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
HP,15.6,4,Intel HD Graphics 520,Windows,10,1.91,128,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Asus,15.6,4,Intel HD Graphics 620,Windows,10,2.0,256,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
MSI,17.3,16,Nvidia GeForce GTX 1070,Windows,10,2.43,2304,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Asus,15.6,4,Intel HD Graphics 520,Linux,Ubuntu,2.0,256,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Dell,17.3,16,AMD Radeon 530,Windows,10,2.8,2304,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Dell,14.0,8,Intel UHD Graphics 620,Windows,10,1.7,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
Lenovo,14.0,8,Intel HD Graphics 620,No OS,No OS,1.7,256,SSD,Intel,2.7,2,Core i3 7130U,1920x1080,IPS Panel Full HD,Intel
Asus,14.0,8,Intel UHD Graphics 620,Windows,10,1.4,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
HP,15.6,8,Intel HD Graphics 620,Windows,10,1.86,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Asus,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
HP,15.6,4,AMD Radeon 520,Windows,10,1.86,500,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,AMD
HP,14.0,4,Intel HD Graphics 400,Windows,10,1.44,32,SSD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
Lenovo,15.6,4,Intel HD Graphics 620,Windows,10,1.9,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Asus,17.3,12,Nvidia GeForce GTX 1050 Ti,Linux,Ubuntu,3.0,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Microsoft,13.5,4,Intel HD Graphics 620,Windows,10 S,1.252,128,SSD,Intel,2.5,2,Core i5 7200U,2256x1504,Touchscreen,Intel
Dell,13.3,8,AMD Radeon 530,Windows,10,1.4,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,AMD
Dell,15.6,8,AMD Radeon 530,Windows,10,2.2,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
MSI,17.3,8,Nvidia GeForce GTX 1050,Windows,10,2.7,1152,SSD + HDD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
Acer,14.0,8,Intel HD Graphics 520,Windows,10,2.1,1024,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
Asus,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.2,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,8,Intel HD Graphics 620,No OS,No OS,2.2,2048,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Dell,15.6,8,Intel UHD Graphics 620,Windows,10,2.02,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
Acer,15.6,4,Nvidia GeForce MX130,Windows,10,2.2,1024,HDD,Intel,2.7,2,Core i3 7130U,1920x1080,Full HD,Nvidia
HP,17.3,8,Nvidia GeForce 930MX,Windows,10,2.5,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
Dell,15.6,8,Intel UHD Graphics 620,Windows,10,1.88,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
Apple,12.0,8,Intel HD Graphics 615,Mac OS,X,0.92,512,SSD,Intel,1.3,4,Core i5,2304x1440,IPS Panel Retina Display,Intel
HP,14.0,8,Intel HD Graphics 620,Windows,10,1.63,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
Lenovo,15.6,4,AMD R4 Graphics,Windows,10,2.2,128,SSD,AMD,2.5,2,A6 Series 9220,1920x1080,Full HD,AMD
Acer,15.6,4,AMD Radeon R5,Windows,10,2.1,1024,HDD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
Dell,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
HP,15.6,8,Nvidia GeForce GTX 940MX,Windows,10,1.83,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
HP,15.6,8,Intel HD Graphics 620,Windows,10,1.96,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Asus,15.6,16,Nvidia GeForce GTX 1060,Windows,10,2.2,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.21,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Intel
Asus,15.6,8,AMD Radeon RX 560,Windows,10,2.45,1024,HDD,AMD,3.0,4,FX 9830P,1920x1080,Full HD,AMD
Acer,15.6,8,Nvidia GeForce MX150,Windows,10,2.2,1024,HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
HP,13.3,16,Intel UHD Graphics 620,Windows,10,1.49,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
Dell,15.6,8,Nvidia GeForce GTX 1060,Windows,10,2.65,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
Asus,14.0,8,Intel HD Graphics 620,Windows,10,1.25,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
Acer,13.3,8,Intel UHD Graphics 620,Windows,10,1.5,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Dell,15.6,8,AMD Radeon R5 M430,Linux,Ubuntu,2.2,1024,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
Dell,15.6,4,AMD Radeon R5 M430,Linux,Ubuntu,2.2,256,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,AMD
Asus,15.6,6,Nvidia GeForce 920M,Windows,10,2.0,256,SSD,Intel,2.4,2,Core i3 7100U,1920x1080,Full HD,Nvidia
HP,15.6,12,Nvidia GeForce GTX 1050,Windows,10,2.62,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
HP,15.6,8,AMD Radeon 530,Windows,10,1.91,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
HP,15.6,4,AMD Radeon R2,Windows,10,2.1,500,HDD,AMD,1.5,2,E Series E2 9000e,1920x1080,Full HD,AMD
Dell,15.6,8,AMD Radeon 520,Linux,Ubuntu,2.2,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
HP,13.3,8,Nvidia GeForce MX150,Windows,10,1.38,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Nvidia
Microsoft,13.5,8,Intel HD Graphics 620,Windows,10 S,1.252,256,SSD,Intel,2.5,2,Core i5 7200U,2256x1504,Touchscreen,Intel
HP,14.0,6,Nvidia GeForce 940MX,Windows,10,1.58,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,15.6,4,Intel HD Graphics 520,Windows,10,1.85,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Asus,14.0,8,Nvidia GeForce 940MX,Windows,10,1.3,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Nvidia
MSI,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,14.0,8,Intel HD Graphics 620,Windows,10,1.58,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Intel
Asus,15.6,16,Nvidia GeForce MX150,Windows,10,1.5,1280,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
Dell,13.3,8,Intel Iris Plus Graphics 640,Windows,10,1.23,256,SSD,Intel,2.4,2,Core i7 7560U,3200x1800,Quad HD+ / Touchscreen,Intel
Lenovo,13.3,8,Intel HD Graphics 620,Windows,10,1.37,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
HP,14.0,4,Intel UHD Graphics 620,Windows,10,1.63,500,HDD,Intel,1.6,4,Core i5 8250U,1366x768,IPS Panel,Intel
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.21,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
HP,13.3,8,Intel UHD Graphics 620,Windows,10,1.26,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
HP,14.0,8,Intel UHD Graphics 620,Windows,10,1.63,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
Dell,15.6,8,Nvidia GeForce 940MX,Windows,10,2.16,1280,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
Asus,17.3,4,Nvidia GeForce 920MX,Windows,10,2.0,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Nvidia
Asus,15.6,8,Nvidia GeForce 940MX,Windows,10,1.7,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
Acer,15.6,6,Intel HD Graphics 620,Windows,10,2.1,1024,HDD,Intel,2.4,2,Core i3 7100U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
MSI,15.6,16,Nvidia GeForce GTX 1070,Windows,10,1.8,2304,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,8,Nvidia GeForce 940MX,No OS,No OS,2.2,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
HP,17.3,16,Nvidia GeForce 930MX ,Windows,10,2.5,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Nvidia
Acer,15.6,4,AMD Radeon R5,Windows,10,2.1,256,SSD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
HP,15.6,4,Intel HD Graphics 400,No OS,No OS,1.86,500,HDD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
HP,14.0,8,Intel UHD Graphics 620,Windows,10,1.63,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
Asus,14.0,4,AMD Radeon R2,Windows,10 S,1.65,64,SSD,AMD,1.5,4,E Series 6110,1366x768,Unknown,AMD
Dell,17.3,16,AMD Radeon 530,Windows,10,2.8,2304,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
HP,17.3,8,Intel UHD Graphics 620,Windows,10,2.5,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Intel
Dell,15.6,8,AMD Radeon R7 M445,Windows,10,2.36,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,AMD
Dell,15.6,4,AMD Radeon R5 M430,Windows,10,2.2,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,AMD
Acer,14.0,8,Intel UHD Graphics 620,Windows,10,1.6,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Intel
Acer,15.6,4,Nvidia GeForce MX130,Windows,10,2.2,256,SSD,Intel,2.7,2,Core i3 7130U,1920x1080,Full HD,Nvidia
HP,15.6,8,Intel HD Graphics 620,Windows,10,2.05,1024,HDD,Intel,2.7,2,Core i7 7500U,1366x768,Unknown,Intel
HP,14.0,8,Intel UHD Graphics 620,Windows,10,1.63,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
Lenovo,15.6,4,Intel HD Graphics 500,No OS,No OS,1.9,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
Asus,17.3,8,Nvidia GeForce GTX 1050,Windows,10,3.0,1152,SSD + HDD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,4,Nvidia GeForce 920MX,No OS,No OS,2.2,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
HP,13.3,4,Intel HD Graphics 620,Windows,10,1.32,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
Acer,17.3,4,Nvidia GeForce MX130,Windows,10,3.0,1024,HDD,Intel,2.7,2,Core i3 7130U,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,14.0,8,AMD Radeon RX 550,Windows,10,1.75,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,AMD
Lenovo,15.6,8,Nvidia GeForce GTX 1050M,No OS,No OS,2.4,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Toshiba,15.6,4,Intel HD Graphics 520,Windows,10,2.1,500,HDD,Intel,2.3,2,Core i5 6200U,1366x768,Unknown,Intel
HP,15.6,4,AMD Radeon R4 Graphics,Windows,10,1.86,256,SSD,AMD,2.5,2,A6 Series 9220,1366x768,Unknown,AMD
Asus,14.0,8,Intel UHD Graphics 620,Windows,10,1.25,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
HP,12.5,8,Intel HD Graphics 515,Windows,10,0.97,512,SSD,Intel,1.2,2,Core M 6Y75,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
Asus,15.6,4,Intel HD Graphics 500,Windows,10,2.0,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1920x1080,Full HD,Intel
MSI,17.3,16,Nvidia GeForce GTX 1070,Windows,10,2.9,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Acer,15.6,4,Intel HD Graphics 520,Windows,10,2.1,1024,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
Dell,15.6,16,Nvidia GeForce GTX 1050,Windows,10,2.56,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Dell,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.62,1024,Hybrid,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,4,Intel HD Graphics 620,Windows,10,1.9,128,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
MSI,17.3,16,Nvidia GeForce GTX 1060,Windows,10,2.8,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
HP,14.0,4,Intel HD Graphics 620,Windows,10,1.48,256,SSD,Intel,2.7,2,Core i5 7500U,1920x1080,Full HD,Intel
HP,15.6,6,AMD Radeon 520,Windows,10,1.91,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
Lenovo,14.0,4,Intel HD Graphics 620,Windows,10,1.74,256,SSD,Intel,2.4,2,Core i3 7100U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Asus,13.3,8,Intel HD Graphics 620,Windows,10,1.1,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD / Touchscreen,Intel
Dell,15.6,8,Intel UHD Graphics 620,Windows,10,1.56,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD / Touchscreen,Intel
Toshiba,15.6,4,Intel HD Graphics 520,Windows,10,2.1,500,HDD,Intel,2.2,2,Core i3 6006U,1366x768,Unknown,Intel
Asus,15.6,4,AMD Radeon R5 M420,Windows,10,2.03,1024,HDD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
Acer,17.3,4,Nvidia GeForce MX150,Windows,10,3.0,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
Dell,15.6,8,AMD Radeon 520,Windows,10,2.13,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
Lenovo,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Acer,15.6,4,Intel HD Graphics 500,Windows,10,2.1,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
MSI,15.6,16,Nvidia GeForce GTX 1060,Windows,10,2.4,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Acer,15.6,4,Intel HD Graphics 505,Windows,10,2.1,1024,HDD,Intel,1.1,4,Pentium Quad Core N4200,1366x768,Unknown,Intel
Dell,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.56,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Acer,17.3,8,Nvidia GeForce MX150,Windows,10,3.0,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
HP,13.3,4,Intel UHD Graphics 620,Windows,10,1.49,500,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
Huawei,13.0,8,Intel HD Graphics 620,Windows,10,1.05,256,SSD,Intel,2.5,2,Core i5 7200U,2160x1440,IPS Panel Full HD,Intel
HP,17.3,6,AMD Radeon 520,Windows,10,2.71,2048,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,AMD
Lenovo,15.6,4,AMD Radeon R4 Graphics,No OS,No OS,2.2,500,HDD,AMD,2.9,2,A6 Series 9220,1366x768,Unknown,AMD
Toshiba,15.6,4,Intel HD Graphics 620,Windows,10,2.0,500,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
HP,17.3,8,Nvidia GeForce 930MX,Windows,10,2.5,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,Nvidia
Dell,15.6,8,Intel HD Graphics 620,Windows,10,2.3,1024,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
Acer,15.6,4,Intel HD Graphics 520,Windows,10,2.1,128,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
